time,open,high,low,close,volume
2025-06-27 07:00:00,10.0,10.1,9.3,9.6,4600
2025-06-30 07:00:00,9.0,9.5,9.0,9.5,3700
2025-07-01 07:00:00,9.2,9.2,9.2,9.2,100
2025-07-02 07:00:00,9.3,9.3,9.3,9.3,5200
2025-07-03 07:00:00,9.3,9.9,9.3,9.9,1100
2025-07-04 07:00:00,9.8,9.8,9.0,9.0,600
2025-07-07 07:00:00,9.3,9.8,8.8,9.4,3700
2025-07-08 07:00:00,9.5,9.5,9.4,9.4,4200
2025-07-09 07:00:00,9.6,10.7,9.6,10.2,6600
2025-07-10 07:00:00,10.1,10.2,9.5,10.2,16100
2025-07-11 07:00:00,9.9,10.4,9.9,10.4,7100
2025-07-14 07:00:00,10.4,10.4,10.3,10.3,1500
2025-07-15 07:00:00,10.3,10.3,9.0,10.0,8400
2025-07-16 07:00:00,10.0,10.0,9.5,9.8,8800
2025-07-17 07:00:00,9.6,10.0,9.6,9.9,12800
2025-07-18 07:00:00,9.9,10.0,9.9,9.9,4400
2025-07-21 07:00:00,9.9,9.9,9.8,9.8,5500
2025-07-22 07:00:00,9.7,9.7,9.7,9.7,5600
2025-07-23 07:00:00,9.7,9.7,9.6,9.6,6600
2025-07-24 07:00:00,9.6,9.6,9.6,9.6,900
2025-07-25 07:00:00,9.6,9.6,9.5,9.5,9200
2025-07-28 07:00:00,9.4,9.4,9.3,9.4,6000
2025-07-29 07:00:00,9.4,9.4,9.2,9.2,9300
2025-07-30 07:00:00,9.2,9.2,9.0,9.0,6300
2025-07-31 07:00:00,9.0,9.0,9.0,9.0,3800
2025-08-01 07:00:00,9.0,9.3,9.0,9.3,3200
2025-08-04 07:00:00,9.3,9.3,9.3,9.3,2400
2025-08-05 07:00:00,9.3,9.3,8.9,9.0,19200
2025-08-06 07:00:00,9.3,10.2,9.1,9.4,13700
2025-08-07 07:00:00,9.6,9.7,9.3,9.5,14000
2025-08-08 07:00:00,9.5,9.5,9.1,9.4,8300
2025-08-11 07:00:00,9.3,9.3,9.1,9.3,7000
2025-08-12 07:00:00,9.3,9.3,9.0,9.0,13900
